month,Store,NPS,count_of_responses
2024-04,OSASCO,85.71428571428572,84
2024-04,RIBEIRÃO PRETO,87.87878787878788,33
2024-04,SANTO AMARO,83.78378378378379,37
2024-04,SANTOS,68.62745098039215,51
2024-04,SOROCABA,91.83673469387756,49
2024-04,TATUAPÉ,71.27659574468085,94
2024-04,TIJUCA,93.9655172413793,116
2024-04,TUCURUVI,84.90566037735849,53
2024-05,ALPHAVILLE,98.4375,64
2024-05,CAMPINAS,81.63265306122449,49
2024-05,COPACABANA,81.44329896907216,97
2024-05,IPIRANGA,78.46153846153847,65
2024-05,ITAIM,42.10526315789473,19
2024-05,JARDINS,51.85185185185185,54
2024-05,LAPA,79.6875,64
2024-05,LONDRINA,94.28571428571428,35
2024-05,MOEMA,90.90909090909092,33
2024-05,MOOCA,91.66666666666666,24
2024-05,OSASCO,76.5625,64
2024-05,RIBEIRÃO PRETO,80.0,25
2024-05,SANTO AMARO,77.77777777777779,36
2024-05,SANTOS,79.41176470588235,34
2024-05,SOROCABA,96.15384615384616,26
2024-05,TATUAPÉ,84.31372549019608,51
2024-05,TIJUCA,89.05109489051095,137
2024-05,TUCURUVI,77.77777777777779,45
2024-06,ALPHAVILLE,93.97590361445782,83
2024-06,CAMPINAS,86.79245283018868,53
2024-06,COPACABANA,88.50574712643679,87
2024-06,IPIRANGA,85.29411764705883,102
2024-06,ITAIM,85.71428571428572,21
2024-06,JARDINS,85.23489932885906,149
2024-06,LAPA,85.8695652173913,92
2024-06,LONDRINA,87.14285714285714,70
2024-06,MOEMA,85.57692307692307,104
2024-06,MOOCA,86.66666666666667,30
2024-06,OSASCO,95.78313253012047,166
2024-06,RIBEIRÃO PRETO,97.43589743589743,117
2024-06,SANTO AMARO,95.40816326530613,196
2024-06,SANTOS,81.31868131868131,91
2024-06,SOROCABA,93.10344827586208,29
2024-06,TATUAPÉ,84.84848484848484,99
2024-06,TIJUCA,93.84615384615384,130
2024-06,TUCURUVI,79.06976744186046,43
2024-07,ALPHAVILLE,97.12230215827337,139
2024-07,CAMPINAS,85.29411764705883,68
2024-07,COPACABANA,91.42857142857143,105
2024-07,IPIRANGA,82.35294117647058,34
2024-07,ITAIM,65.0,20
2024-07,JARDINS,79.59183673469387,49
2024-07,LAPA,89.33333333333333,75
2024-07,LONDRINA,86.56716417910447,67
2024-07,MOEMA,75.0,48
2024-07,MOOCA,82.6086956521739,23
2024-07,OSASCO,96.58536585365853,205
2024-07,RIBEIRÃO PRETO,98.27586206896551,58
2024-07,SANTO AMARO,85.3932584269663,89
2024-07,SANTOS,78.26086956521739,46
2024-07,SOROCABA,90.0,30
